installed_cap,dam_height,initial_cost,final_cost,planned_dur,actual_dur,rainfall,forest_area_div,dist_road,tunnel length,elevation,damlength,transmission line length cktkm,landowner_displaced,cost_overrun,duration_overrun,geo_prob_landslide,geo_prob_sz,geo_prob_wi,geo_prob_other,contract_EPC,contract_IR,contract_OTHER,retendered_encoded,seismic_encoded,category_encoded,state_encoded,funder_ADB,funder_CG,funder_PFC,funder_SG,funder_OTHER
99.0,24.5,873.6062168,1696.93,4.0,12.0,1450.0,16.81,0.2,11.89,12945.0,127.0,91.47,194.0,94.24426788259551,200.0,0,0,0,1,1,0,0,0.0,4.0,2,1,0,0,0,0,1
520.0,22.0,4080.118084,7000.0,5.0,15.0,1200.0,157.0,2.0,12000.0,1800.0,200.0,50.0,52.0,71.563662028562,200.0,0,0,0,1,1,0,0,2.0,5.0,3,1,1,0,0,0,1
444.0,65.0,2847.769777,3860.0,5.0,10.0,1100.0,80.0,1.0,13400.0,1260.0,114.0,30.0,265.0,35.5446648523091,100.0,0,1,0,0,1,0,0,0.0,5.0,2,1,0,0,0,0,1
330.0,90.0,1870.7666,4500.0,6.0,10.0,1000.0,330.0,0.0,0.0,600.0,248.0,20.0,350.0,140.54310142163112,66.66666666666666,1,0,0,0,1,0,0,2.0,4.0,2,1,0,0,0,0,1
60.0,30.5,680.4,1100.0,4.0,6.0,1400.0,45.0,5.0,4300.0,1400.0,50.0,37.0,12.0,61.669606114050566,50.0,0,0,0,0,1,0,0,0.0,4.0,2,1,0,0,1,0,1
171.0,35.0,1766.459563,2500.0,5.0,10.0,1200.0,46.0,2.0,7500.0,2000.0,80.0,15.0,10.0,41.52602484453249,100.0,0,0,0,1,1,0,0,0.0,5.0,2,1,0,0,0,0,1
300.0,204.0,4456.1976,5747.0,6.0,10.0,1300.0,768.0,1.0,3000.0,650.0,350.0,40.0,200.0,28.96645337271398,66.66666666666666,0,0,0,1,1,0,0,0.0,4.0,3,1,0,1,0,1,0
660.0,236.0,10600.0,12000.0,8.0,10.0,1300.0,2000.0,10.0,2000.0,800.0,500.0,50.0,500.0,13.20754716981132,25.0,0,0,0,1,1,0,0,0.0,4.0,3,1,0,1,0,1,0
76.0,26.0,506.877733,800.0,5.0,12.0,1500.0,25.0,1.0,3000.0,1600.0,60.0,15.0,5.0,57.82898871195828,140.0,0,0,0,1,1,0,0,2.0,5.0,2,1,0,0,0,0,1
240.0,59.25,233.28,500.0,6.0,10.0,1300.0,100.0,5.0,6200.0,652.0,155.0,20.0,100.0,114.33470507544583,66.66666666666666,0,1,0,0,0,1,0,0.0,4.0,2,1,0,0,0,1,0
120.0,0.0,116.64,300.0,4.0,8.0,1300.0,50.0,5.0,6000.0,500.0,0.0,10.0,20.0,157.201646090535,100.0,0,0,0,1,0,1,0,0.0,4.0,2,1,0,0,0,1,0
