project_name,year,PRCPTOT,RX1day,RX5day,RX7day,SDII,R10mm,R20mm,R25mm,R30mm,R100mm,CDD,CWD,R95p,R99p
Vishnugad Pipalkoti,2023,1194.7117995023727,44.344520568847656,116.64310455322266,146.9593415260315,8.07237702366468,41,12,8,3,0,23,53,278.56432723999023,44.344520568847656
Vishnugad Pipalkoti,2024,1279.319736480713,47.07299423217773,130.30224514007568,148.3916835784912,10.750586020846328,49,17,13,5,0,86,29,399.6492004394531,47.07299423217773
alain duhangan,2003,1339.131785273552,117.9129409790039,203.36046314239502,234.0835509300232,12.399368382162518,42,22,15,11,1,50,29,176.7924041748047,117.9129409790039
alain duhangan,2004,1701.9561487436295,127.2260284423828,233.717369556427,258.34205770492554,15.906132231248874,46,25,20,16,2,40,16,469.96893310546875,247.34442901611328
alain duhangan,2005,1682.3229711055756,134.04820251464844,171.76803469657898,239.36894389986992,13.041263341903687,44,28,20,13,1,82,13,282.48491287231445,134.04820251464844
alain duhangan,2006,1189.2082489728928,82.84639739990234,165.7969126701355,165.7969126701355,8.555455028581962,42,9,6,4,0,27,30,82.84639739990234,0.0
alain duhangan,2007,1108.4118474721909,67.50581359863281,132.18676829338074,132.18676829338074,9.393320741289752,36,11,8,4,0,43,9,124.43294906616211,0.0
alain duhangan,2008,1152.3563647270203,99.17781066894533,117.17767477035524,122.09546923637392,8.864279728669386,37,12,7,6,0,34,16,99.17781066894533,0.0
alain duhangan,2009,983.916862487793,46.82414245605469,127.29024028778076,127.29024028778076,8.784971986498151,35,11,9,6,0,34,6,0.0,0.0
alain duhangan,2010,1879.0305794477463,124.46448516845705,234.21574020385742,262.73450756073,15.153472414901179,56,29,22,17,1,40,19,377.4599189758301,124.46448516845705
baira siul,1970,1466.7781147956848,65.90445709228516,138.46596240997314,173.27212190628052,12.866474691190218,45,24,20,15,0,44,25,615.2793197631836,125.6578483581543
baira siul,1971,2157.7738440036774,110.6409683227539,258.35112234950066,291.2925712764263,17.40140196777159,71,35,27,20,1,49,32,942.7985801696777,360.7789306640625
baira siul,1972,1121.4821829795837,60.906646728515625,147.6342315673828,159.22271251678467,9.585317803244305,35,20,11,7,0,30,18,284.8314208984375,60.906646728515625
baira siul,1973,1894.7729635238647,84.24312591552734,217.7656364440918,248.30005645751953,15.158183708190919,58,31,25,19,0,26,17,826.9313201904297,211.5201530456543
baira siul,1974,1266.7764666080475,65.74515533447266,183.27184200286865,239.4762258529663,12.926290475592321,38,17,15,14,0,49,13,581.1109466552734,65.74515533447266
baira siul,1975,1746.0994868278503,172.517333984375,409.10061264038086,461.19336795806885,14.923927237844875,54,27,19,15,1,91,14,778.8607788085938,385.51951599121094
baira siul,1976,2282.3899788856506,101.26209259033205,321.2152805328369,373.8431205749512,17.831171710044146,78,38,28,24,1,38,45,975.639575958252,379.6849021911621
baira siul,1977,2066.933807015419,131.59446716308594,258.5419101715088,317.9147834777832,14.870027388600137,70,32,26,19,1,27,30,832.6588935852051,258.6669464111328
baira siul,1978,1786.7920495271683,81.49699401855469,172.80859446525574,191.39172625541687,11.602545776150443,57,20,16,13,0,12,23,658.3331031799316,293.67681884765625
baira siul,1979,1456.3891061544418,85.42839813232422,278.59881591796875,296.02761244773865,10.553544247495955,41,20,17,12,0,25,19,543.7073402404785,225.66021728515625
baira siul,1980,1252.859501838684,115.3188247680664,176.93919134140015,194.46388339996338,9.419996254426197,41,17,8,5,1,24,9,198.1117401123047,115.3188247680664
baira siul,1981,1336.395963191986,60.17344284057617,99.31217002868652,113.48996114730835,9.477985554553094,44,16,6,6,0,27,16,205.65620040893555,60.17344284057617
bajoli holi,2013,3802.7968517541885,194.45626831054688,497.2635192871094,674.7886810302734,31.428073154993292,81,60,55,52,7,43,14,1146.7825546264648,627.2525634765625
bajoli holi,2014,2612.714305639267,161.22633361816406,278.15316581726074,374.4088439941406,23.969856015039145,64,43,35,28,4,35,13,687.8892974853516,295.40919494628906
bajoli holi,2015,3267.328307390213,231.833984375,481.0176544189453,575.2999114990234,25.52600240148604,69,43,36,29,7,20,15,1274.3801498413086,872.0511474609375
bajoli holi,2016,3349.574683189392,203.15188598632807,468.2041969299316,595.6887731552124,31.014580399901778,65,45,39,34,8,82,7,1595.2790069580078,832.1968994140625
bajoli holi,2017,3267.884578704834,123.88371276855467,393.4428024291992,470.4205889701843,31.122710273379372,75,55,47,43,5,75,23,834.2572555541992,0.0
bajoli holi,2018,3606.771711587906,285.9527587890625,513.9096733406186,627.359206803143,31.638348347262333,73,50,43,40,7,26,12,1330.8797607421875,701.8406524658203
bajoli holi,2019,2918.9468245506287,113.05181884765624,288.69575357437134,357.97507524490356,24.94826345769768,70,56,45,38,1,24,11,374.5992431640625,0.0
bajoli holi,2020,2830.1454780101776,149.66029357910156,301.1301279067993,429.2678155899048,23.584545650084813,68,47,38,34,3,50,29,618.8914947509766,149.66029357910156
bajoli holi,2021,2422.327448606491,226.25070190429688,404.7567354887724,415.4442412108183,22.021158623695374,63,38,27,25,2,32,7,444.25408935546875,226.25070190429688
bajoli holi,2022,3318.1669223308563,325.1290283203125,637.5405120849609,850.2108076810837,35.299648109902726,61,43,38,32,7,61,10,1442.1425399780273,1069.4090270996094
baspa,1993,1116.267008304596,62.387996673583984,190.34235954284668,231.39922046661377,8.456568244731788,35,13,8,3,0,52,20,319.28978538513184,117.4124641418457
baspa,1994,1281.027957201004,50.63718032836914,140.272047996521,175.4570550918579,8.264696498070993,43,11,7,4,0,36,45,296.6523036956787,94.9902229309082
baspa,1995,1270.9564328193665,45.33006286621094,118.6529929637909,151.64422023296356,8.587543464995719,46,14,7,2,0,25,24,216.27327919006348,45.33006286621094
baspa,1996,1097.716413974762,33.31473159790039,90.52148056030273,110.75052642822266,7.41700279712677,34,10,4,2,0,33,15,140.1623992919922,0.0
baspa,1997,1148.688794016838,58.860260009765625,143.05717277526855,157.3356330394745,7.31648913386521,36,10,5,4,0,18,18,212.84876251220703,58.860260009765625
baspa,1998,1019.8150091171265,36.987186431884766,108.23642325401306,121.05084419250488,7.284392922265189,27,13,8,6,0,52,16,281.4184036254883,0.0
baspa,1999,531.137568116188,38.27308654785156,104.1093578338623,118.14897620677948,5.590921769644085,17,3,3,1,0,62,16,96.51231384277344,0.0
baspa,2000,719.5224052667618,51.14659881591797,115.34281635284424,129.36570954322815,6.367454913865148,21,6,4,1,0,53,11,127.61922645568848,51.14659881591797
baspa,2001,621.7791148424149,39.512237548828125,64.28223240375519,86.02031564712524,5.269314532562838,16,4,3,1,0,36,12,94.38516998291016,0.0
baspa,2002,866.3523155450821,77.1448974609375,166.0787410736084,178.68106359243393,8.250974433762687,24,9,9,7,0,75,13,393.3578910827637,229.3941192626953
baspa,2003,578.478363275528,18.72030258178711,56.38498139381409,74.1219117641449,4.780812919632463,8,0,0,0,0,71,21,0.0,0.0
bhakra,1951,861.5744622945786,67.11959075927734,151.58515787124634,171.4335389137268,7.427366054263608,25,11,9,2,0,32,31,321.0452060699463,104.72982025146484
bhakra,1952,923.559189915657,34.009765625,126.57101249694824,150.13187980651855,7.508611300127293,35,9,4,2,0,107,55,192.27615547180176,0.0
bhakra,1953,1021.390593290329,43.2823486328125,156.35157203674316,176.1242218017578,7.856850717617915,33,11,7,4,0,87,47,323.1376266479492,86.07311248779297
bhakra,1955,1473.725796341896,133.16578674316406,362.2357368469238,375.51063442230225,10.094012303711617,44,15,9,7,2,66,56,639.1265182495117,437.2802085876465
bhakra,1956,1169.0220757722855,54.65203857421875,160.07441234588623,170.28974604606628,7.640667161910362,41,11,3,2,0,38,41,268.91380310058594,98.45606994628906
bhakra,1957,1191.4642506837845,46.60297393798828,139.210223197937,160.80566120147705,8.27405729641517,45,14,7,4,0,32,26,351.32524490356445,121.82596206665039
bhakra,1958,1200.954064965248,47.39603042602539,141.0690155029297,191.09461402893066,9.167588282177466,38,18,8,3,0,48,48,380.99531745910645,130.38454055786133
bhakra,1959,1206.4982279539108,50.208003997802734,129.44263172149658,140.11834001541138,7.885609333032097,45,12,3,2,0,54,49,157.14304733276367,50.208003997802734
bhakra,1960,946.4662584066391,46.417816162109375,141.6279525756836,171.88307094573975,8.089455200056744,33,8,5,2,0,85,33,187.88200569152832,83.74888610839844
bhakra,1961,1200.9257893562317,45.10593795776367,120.75304555892944,129.77784729003906,7.698242239463023,38,11,7,3,0,32,90,289.8892402648926,45.10593795776367
bhakra,1962,885.8067848682404,57.04059982299805,121.0904631614685,131.78883147239685,5.945011978981479,21,7,2,2,0,44,58,188.1323356628418,95.76512145996094
bhakra,1963,978.4646991491318,37.648887634277344,102.9626932144165,129.2359972000122,7.247886660363939,31,8,4,3,0,35,31,150.62128829956055,37.648887634277344
chamera I,1984,1210.6631174087524,51.84545135498047,121.5959620475769,137.0777308344841,11.006028340079567,42,21,12,9,0,49,12,134.82983016967773,0.0
chamera I,1985,1005.3518205881119,47.97088623046875,141.7097988128662,159.61950016021729,8.5199306829501,31,13,10,5,0,31,22,132.7148895263672,0.0
chamera I,1986,1283.6505326032639,64.7344970703125,110.1668392419815,131.89751759916544,11.359739226577556,38,18,12,12,0,29,7,417.6940460205078,0.0
chamera I,1987,1119.1261115074158,75.14128875732422,93.3033230304718,95.81337216496468,9.73153140441231,37,12,9,7,0,32,8,288.015323638916,75.14128875732422
chamera I,1988,2262.0167820453644,123.2285614013672,468.13219451904297,474.28093722462654,16.755679867002698,62,33,26,22,3,58,39,1049.1850929260254,552.8676910400391
chamera I,1989,1184.3024406433105,89.14575958251953,196.0768585205078,215.82252311706543,9.474419525146484,37,13,9,5,0,26,14,247.61346435546875,89.14575958251953
chamera I,1990,1612.8343298435211,61.25643157958984,171.88879108428955,185.5769762992859,11.200238401691118,50,21,15,11,0,30,19,391.02480697631836,0.0
chamera I,1991,1160.5762796401978,48.62321853637695,85.56842947006226,118.59922170639038,9.359486126130626,42,18,7,5,0,28,10,124.81816482543945,0.0
chamera I,1992,1142.6082431077957,47.36163711547852,117.85261726379395,125.55107164382935,9.683120704303354,46,13,7,4,0,62,25,92.52997207641602,0.0
chamera I,1993,1159.3139861822128,107.94876098632812,293.47064208984375,311.417857170105,10.444270145785701,34,11,9,6,1,53,27,248.22679901123047,204.21725463867188
chamera I,1994,1459.1279783248901,80.07496643066406,234.45996284484863,264.92064571380615,11.862829092072278,43,19,14,12,0,42,31,480.1240119934082,278.79832458496094
chamera II,2000,817.5885672569275,34.73533248901367,92.10577201843262,108.60640573501587,6.488798152832758,25,5,3,3,0,48,20,0.0,0.0
chamera II,2001,753.0076925754547,36.11878967285156,88.07368087768555,110.01926136016846,6.547892978916997,22,5,2,1,0,57,29,0.0,0.0
chamera II,2002,556.3279131650925,30.811845779418945,84.14671325683594,108.75416851043701,6.250875428821264,14,5,3,1,0,98,11,0.0,0.0
chamera II,2003,711.2588939666748,35.64188766479492,83.84487628936768,96.5060453414917,6.407737783483557,21,6,2,2,0,51,14,0.0,0.0
chamera II,2004,890.8238536119461,35.03571319580078,113.57461357116699,135.13239002227783,8.73356719227398,28,12,9,4,0,62,11,0.0,0.0
chamera III,2005,2105.7112706899643,110.1128158569336,263.56326484680176,301.46466064453125,16.323343183643136,62,41,30,22,1,80,16,451.11682510375977,203.73748779296875
chamera III,2006,1281.1481493711472,60.41843795776367,131.2684290409088,155.71744751930237,10.415838612773554,43,17,10,6,0,27,11,60.41843795776367,0.0
chamera III,2007,2545.4353147745132,121.9875030517578,187.54164561629295,243.82797861099243,20.694596055077344,71,38,31,27,1,60,14,945.2314414978027,310.0254898071289
chamera III,2008,2597.1222709417343,159.6650848388672,318.7422409057617,384.8564214706421,19.825360846883466,72,42,35,27,1,64,30,966.0466728210449,450.92101287841797
chamera III,2009,1825.5142920017242,85.14007568359375,233.52864837646484,273.5121879577637,17.385850400016423,48,33,24,23,0,31,17,588.5755310058594,0.0
chamera III,2010,1953.7554335594177,99.65830993652344,216.90395545959473,266.83147621154785,15.383901051648959,57,35,29,22,0,25,28,373.2521514892578,99.65830993652344
chamera III,2011,1073.928059220314,55.72340393066406,115.13656449317932,123.26622022129595,11.071423290931072,36,16,12,8,0,25,5,55.72340393066406,0.0
chamera III,2012,1013.917240858078,76.69171905517578,109.13731455802917,113.90251642465591,8.74066586946619,26,13,8,8,0,43,8,144.2759552001953,0.0
