project_name,catchment_radius_km,slope_mean_deg,slope_max_deg,slope_std_deg,steep_frac_25,elev_mean_m,elev_min_m,elev_max_m,elev_range_m,aspect_circ_std
Kishau,38.244397328426004,23.825861739428667,79.54830932617188,13.448263891926258,0.5169502269624648,1362.9308314424377,335,3351,3016,2.657843088729119
Phata Byung,18.9234939151512,30.080774639922424,78.50593566894531,11.338271345109773,0.658216161194279,2477.310814232658,767,4781,4014,2.534839377687495
Chibro,38.98627587405086,21.15710208928488,79.54830932617188,13.960254812519908,0.43595911567488255,1179.287563235918,311,3054,2743,2.4509405332057903
Khodri,75.77803340517346,18.066459540421153,80.06633758544922,14.501875087812754,0.3622736390049622,1152.7466509108522,238,4369,4131,2.600795016487073
chilla,85.74939283076915,13.286215743453873,79.50672149658203,13.712314024535202,0.24720148354036448,771.4708996875851,189,3158,2969,2.7138604544965967
vishnuprayag,47.50596902540855,31.63190940435815,82.06742858886719,14.109623403233043,0.6748961783511794,3917.936893639161,744,7801,7057,2.7299524221683185
maneri_bhali_I,38.65007497871808,28.96173539862724,84.60252380371094,10.988460513381636,0.6394122201525952,2464.9370243324565,612,6325,5713,2.5040220859288587
Luhri Stage 1,126.156626101008,22.59306197854313,87.77668762207031,14.867457467538566,0.45863781011812843,2247.003830698781,238,6570,6332,2.669660511371787
Maneri Bhali Ii,38.65007497871808,29.014928340580024,84.60252380371094,10.964175891953095,0.641480836885168,2453.966451697561,612,6325,5713,2.5008817511383663
Giri Bata,27.157393215988957,21.37423013839708,79.9115982055664,12.77174135411467,0.4149894649319294,1101.9587345221848,309,3512,3203,2.280362623660166
Shongtong Karcham,124.5760751544642,28.011220608574302,87.77668762207031,12.524527706139036,0.5966129007521698,3741.1141744208558,435,7064,6629,3.209733502561342
