project_name,cost_overrun_pct,dam_height,installed_cap,initial_cost,planned_dur,actual_dur,schedule_overrun_pct,catchment_area_sq_km,catchment_radius_km,elev_mean_m,elev_range_m,slope_mean_deg,slope_max_deg,slope_std_deg,steep_frac_25,aspect_circ_std,dist_road,forest_area_div,landowner_displaced,pop_density_district,st_pop_fraction,worker_ratio,tourism_pressure_score,dist_to_nearest_pilgrim_km,dist_to_nearest_resort_km,PRCPTOT_mean,PRCPTOT_max,R10mm_mean,RX1day_max,RX5day_max,RX7day_mean,RX7day_max,R95p_mean,R99p_mean,R30mm_mean,R30mm_total,R100mm_mean,R100mm_total,CDD_mean,CWD_mean,SDII_mean,glof_composite_score,glof_lake_count_50km,seismic_zone_score,glof_risk_score,project_scale_score,is_uttarakhand,contract_IR,contract_EPC,cost_per_mw
dehar,243.49663685196955,76.2,990.0,130.7145258,7.0,16.0,128.57142857142858,12561,63.23203681959482,1173.06119329338,3542,19.32961710517661,79.73873138427734,13.074801362959729,0.3430075383423139,2.5552238787283823,0.0,0.0,25.0,999777.0,0.0127898521370265,0.5727987341177082,0.625,33.86,45.1,1103.7691476204816,1498.0127791166306,37.0,69.3961181640625,230.94284057617188,154.40631325104658,249.96130561828613,197.1964463626637,43.33316960054285,3.4705882352941178,59,0.0,0,55.0,38.47058823529412,8.147844214558418,0.1301876713310058,0,1.0,0.0,2.0,0.0,1.0,0.0,0.13203487454545454
sawra kuddu,189.89414915089023,10.45,111.0,717.8482236,5.0,13.0,160.0,852,16.46815177937675,2312.4496727679216,2699,27.43208400851716,77.95641326904297,10.024818584533346,0.5845386222599342,2.490336354811748,0.0,53.0,0.0,814010.0,0.0107553961253547,0.5293866168720286,0.5058,66.97,56.98,1039.456452650683,1424.6176933050156,34.214285714285715,96.89320373535156,294.6654357910156,151.91716402928745,319.0737065076828,278.101092338562,78.55127389090401,4.5,63,0.0,0,50.142857142857146,15.428571428571429,9.3445397842685,0.3148036035734082,20,0.0,0.0,1.0,0.0,1.0,0.0,6.467101113513514
kashang I,73.77740077968866,0.0,243.0,759.0169919,4.0,6.5,62.5,221,8.387281135541944,3482.814410381093,3357,30.859573418880508,79.2162094116211,11.320829123481047,0.6950836308309231,1.7542280262731995,5.0,63.5,204.0,84121.0,0.5794748041511633,0.6689530557173595,0.3642,66.6,117.16,802.9522065775735,1046.451140165329,23.0,185.0338287353516,318.63856875896454,145.9423234909773,324.4962219148874,222.5883889879499,39.63313620431082,4.571428571428571,32,0.1428571428571428,1,45.0,8.857142857142858,8.313086570601754,0.7154528947792356,82,1.0,1.0,1.0,0.0,0.0,0.0,3.12352671563786
kutehr,2.092072173141117,27.0,240.0,1817.966822,6.0,14.0,133.33333333333331,1470,21.631355313298616,3393.769140499493,4824,35.41019902752863,88.0808334350586,12.131398281958592,0.8103472556211517,3.1020316436314896,0.0,72.0,30.0,519080.0,0.261038760884642,0.5664541111196733,0.5586,66.59,35.17,1695.7068271211217,2352.989490866661,54.785714285714285,156.86602783203125,287.0962619781494,235.9488788551784,365.2434139251709,307.03723171779086,102.4440531049456,12.928571428571429,181,0.6428571428571429,9,45.642857142857146,17.5,13.431913859598811,0.4732711872037806,12,1.0,1.0,1.0,0.0,0.0,1.0,7.574861758333333
baspa,43.30611109886272,13.0,300.0,1124.8648,5.0,10.0,100.0,950,17.38949084575512,3848.591914814402,4760,32.19800416447814,86.90313720703125,12.765216107355254,0.7194052829713947,2.6592888961299685,0.0,49.0,0.0,84121.0,0.5794748041511633,0.6689530557173595,0.4273,52.59,106.8,931.9764893163334,1281.027957201004,27.90909090909091,77.1448974609375,190.34235954284668,139.45231601866809,231.39922046661377,198.04723046042704,54.28488436612216,2.8181818181818183,31,0.0,0,46.63636363636363,19.181818181818183,7.053288330047536,0.7223087339201084,85,1.0,1.0,1.0,0.0,0.0,1.0,3.7495493333333334
ghanvi,53.69908384684821,0.0,32.5,112.5576,3.0,7.0,133.33333333333331,82,8.0,2126.978649736026,2602,31.887652554737304,79.35100555419922,11.959936494321193,0.6947709721975482,2.135248697695844,5.0,12.48,0.0,814010.0,0.0107553961253547,0.5293866168720286,0.4677,67.35,72.64,1207.2874039411545,1694.9794273376465,36.875,165.23484802246094,248.75759887695312,195.22442973405123,271.475248336792,353.6529746055603,104.18086814880373,7.375,59,0.125,1,55.625,15.625,10.014143485396788,0.6018287259559985,42,1.0,1.0,0.0,0.0,1.0,0.0,3.463310769230769
larji,401.9530931293552,26.5,126.0,291.0630535,5.0,19.5,290.0,5498,41.83381113690792,2308.211990662027,4997,29.03217756985476,79.08073425292969,12.175400409355756,0.6311772398187694,2.610906728359431,0.0,6.6,0.0,437903.0,0.0384149001034475,0.6144831161238905,0.6586,35.97,28.5,1163.5282120049,1606.9884819984436,37.75,117.56949615478516,261.95049142837524,160.9802911326289,267.64409470558167,271.68100891113284,89.27695293426514,5.0,100,0.05,1,53.0,27.1,8.251911900970597,0.3085455155871258,18,1.0,0.0,1.0,0.0,1.0,0.0,2.3100242341269843
koteshwar,72.73541314442237,97.5,400.0,1572.92587,5.0,11.5,130.0,7691,49.478493657745226,1580.5483054415574,4398,27.084851925828737,79.50672149658203,10.614958703652285,0.5887010334016051,2.769858028732124,0.0,87.0,0.0,618931.0,0.0014137278630412,0.4531070507051674,0.7056,62.4,62.37,1244.3909539282322,1719.3716996908188,40.833333333333336,150.34197998046875,244.16174793243408,175.83648013540855,267.96362018585205,325.1251947085063,105.28505102793376,7.833333333333333,94,0.0833333333333333,1,55.583333333333336,23.25,10.494185563688632,0.1945491732257775,1,0.5,0.0,1.0,1.0,1.0,0.0,3.932314675
dhauli ganga,183.1350018404633,56.0,280.0,617.7265222,8.0,9.0,12.5,2157,26.20294686668728,3056.2016240579933,5585,34.51716323593979,88.90884399414062,12.314742488601151,0.7811835701961827,2.634776968138016,0.0,176.5,0.0,391605.0,0.0313070568557602,0.4620472159446381,0.1838,122.58,128.36,2421.379965531826,3647.4426995515823,74.1,177.26593017578125,416.2953071594238,288.8612163186073,523.4641628265381,725.031169128418,228.16347122192383,22.2,222,1.0,10,48.8,34.4,15.910651446257384,0.4679022410897622,50,1.0,0.0,1.0,1.0,0.0,0.0,2.2061661507142856
tanakpur,90.83490725597976,26.3,94.2,198.6009821,5.0,8.0,60.0,12792,63.81081463249823,775.7110295640031,2546,14.28785575375674,78.22493743896484,13.537461312307428,0.2565466288765872,3.0512845855626,2.0,163.5,0.0,259648.0,0.0051569817599211,0.3834653068770027,0.1363,187.44,73.17,1316.8027320570416,1811.6618304252625,36.888888888888886,208.4765167236328,419.6341052055359,284.0489948491256,426.1229782104492,390.0538092719184,153.11334906684027,10.444444444444445,94,0.6666666666666666,6,55.66666666666666,20.33333333333333,11.772357211499902,0.0152344590219066,0,0.5,0.0,1.0,1.0,1.0,0.0,2.1082906804670913
maneri bhali ,-59.08468288705334,39.0,304.0,4189.140207,6.0,32.0,433.3333333333333,4693,38.65007497871808,2453.966451697561,5713,29.014928340580024,84.60252380371094,10.964175891953095,0.641480836885168,2.5008817511383663,0.0,104.5,785.0,330086.0,0.0106396514847645,0.4764697684845767,0.6256,31.4,47.72,1432.6862928469975,2279.1385164260864,49.21212121212121,165.85406494140625,351.4263381958008,189.75977919318456,392.3001651763916,303.4367694276752,98.79275767008464,8.363636363636363,276,0.1818181818181818,6,55.121212121212125,34.60606060606061,10.470340574041591,0.321687881223296,37,1.0,0.0,1.0,1.0,1.0,0.0,13.780066470394738
tiloth,322.2256904261205,39.0,90.0,18.79089828,5.0,11.0,120.0,25920,90.83277079272575,2637.85694176519,6796,27.198224879657268,86.90313720703125,13.245371820608716,0.5854214226392027,2.7138370160372656,0.0,57.0,0.0,330086.0,0.0106396514847645,0.4764697684845767,0.6282,30.48,47.67,1127.023638933897,1708.9280017614365,37.5,89.02596282958984,220.20263671875,133.78031157453856,227.8832325935364,199.6389883359273,52.024187088012695,3.083333333333333,37,0.0,0,46.083333333333336,50.0,7.442639177042307,0.319309395919516,35,1.0,0.0,1.0,1.0,1.0,0.0,0.20878775866666668
madhyamaheshwar,20.47727277631735,3.5,15.0,95.03867191,4.0,11.0,175.0,73,8.0,2954.8373825759186,3454,34.20508148078348,78.44010162353516,10.907719733620675,0.8116063074976404,1.8061946511630813,0.5,4.85,0.0,242285.0,0.0015931650741894,0.4665249602740574,0.7455,12.06,103.93,1572.097321420908,2006.712076306343,52.75,103.7229232788086,223.7970781326294,205.39926270892224,276.6235866546631,486.0644515355428,173.52235253651938,12.333333333333334,148,0.0833333333333333,1,51.583333333333336,22.08333333333333,12.70821037647248,0.7744719473093661,151,1.0,1.0,0.0,1.0,0.0,0.0,6.335911460666667
singoli bhatwari,94.24426788259552,24.5,99.0,873.6062168,4.0,12.0,200.0,1324,20.529059630371258,2120.864670223996,3807,28.59840602954344,78.50593566894531,11.114248226736402,0.6043332017033484,2.3536522996448106,0.2,16.81,194.0,242285.0,0.0015931650741894,0.4665249602740574,0.7267,27.08,94.43,1095.7807448277106,1616.868017077446,35.46153846153846,138.85179138183594,248.27159214019773,167.51675588121782,274.1694241762161,298.0861402658316,89.0953615628756,8.153846153846153,106,0.0769230769230769,1,57.84615384615385,13.076923076923077,10.93439604533928,0.5994894731684393,85,0.0,1.0,1.0,1.0,0.0,1.0,8.82430522020202
Tapovan Vishnugad,71.563662028562,22.0,520.0,4080.118084,5.0,15.0,200.0,3100,31.412746571571088,3665.037193459005,6169,33.208247978723016,82.06742858886719,13.60657017928183,0.7202644810673661,2.791109896526446,2.0,157.0,52.0,391605.0,0.0313070568557602,0.4620472159446381,0.466,24.05,123.56,1557.0223857402802,1960.9372022151947,52.66666666666666,187.1902008056641,328.1107788085937,218.97862656836708,351.0320816040039,548.4676005045573,214.135942586263,10.933333333333334,164,0.2666666666666666,4,50.333333333333336,28.53333333333333,12.096304177164784,0.8428616706967031,126,1.0,2.0,2.0,1.0,0.0,1.0,7.846380930769231
Vishnugad Pipalkoti,35.5446648523091,65.0,444.0,2847.769777,5.0,10.0,100.0,12100,62.06085419025319,3257.334298763681,7261,30.164397918395967,82.43330383300781,13.23662777216566,0.6411888605813194,2.7288684433706782,1.0,80.0,265.0,391605.0,0.0313070568557602,0.4620472159446381,0.4543,35.21,115.57,1283.6738906701405,1501.747730731964,45.22222222222222,119.74386596679688,174.11444473266602,145.04857651392618,189.5082960128784,314.9995409647624,68.4817869398329,4.777777777777778,43,0.1111111111111111,1,52.77777777777778,39.0,9.126625593037884,0.3679457713721016,55,1.0,0.0,1.0,1.0,0.0,1.0,6.413895894144144
Shrinagar,140.54310142163112,90.0,330.0,1870.7666,6.0,10.0,66.66666666666666,7589,49.14930036377718,1580.1291137603264,3531,27.399102528248648,79.50672149658203,10.073365023610954,0.592266722321659,2.979738193050262,0.0,330.0,350.0,437903.0,0.0313070568557602,0.5293866168720286,0.6745,62.43,75.48,1196.3890747373755,1689.865690112114,38.09090909090909,158.4005584716797,272.9304552078247,190.3837203654376,281.7550382614136,331.7476237903942,87.20977089621805,8.363636363636363,92,0.1818181818181818,2,50.63636363636363,22.63636363636364,10.902282888871648,0.1714845078393004,0,0.0,0.0,1.0,1.0,0.0,1.0,5.668989696969697
